0.00, 1.15, 0.00, 0.0
-0.25, 1.15, 0.00, 180.0
-0.25, 0.90, 0.00, 180.0
-0.25, 0.65, 0.00, 180.0
-0.25, 0.40, 0.00, 180.0
-0.25, 0.15, 0.00, 180.0
-0.25, -0.10, 0.00, 180.0
0.00, -0.10, 0.00, 0.0
0.25, -0.10, 0.00, 0.0
0.25, 0.15, 0.00, 0.0
0.25, 0.40, 0.00, 0.0
0.25, 0.65, 0.00, 0.0
0.25, 0.90, 0.00, 0.0
0.00, 0.90, 0.00, -90.0
0.00, 0.65, 0.00, -90.0
0.00, 0.40, 0.00, -90.0
0.00, 0.15, 0.00, -90.0
0.00, -0.10, 0.00, -90.0
0.00, -0.40, 0.00, -90.0
-0.25, -0.40, 0.00, -90.0
-0.50, -0.40, 0.00, -90.0
-0.75, -0.40, 0.00, -90.0
-1.00, -0.40, 0.00, -90.0
-1.25, -0.40, 0.00, -90.0
-1.00, -0.40, 0.00, -90.0
-0.75, -0.40, 0.00, -90.0
-0.50, -0.40, 0.00, -90.0
-0.25, -0.40, 0.00, -90.0
0.00, -0.40, 0.00, -90.0
0.25, -0.40, 0.00, -90.0
0.50, -0.40, 0.00, -90.0
0.75, -0.40, 0.00, -90.0
1.00, -0.40, 0.00, -90.0
1.25, -0.40, 0.00, -90.0
1.00, -0.40, 0.00, -90.0
0.75, -0.40, 0.00, -90.0
0.50, -0.40, 0.00, -90.0
0.25, -0.40, 0.00, -90.0
0.00, -0.40, 0.00, -90.0
0.00, -0.10, 0.00, 0.0
0.00, 0.15, 0.00, 0.0
0.00, 0.40, 0.00, 0.0
0.00, 0.65, 0.00, 0.0
0.00, 0.90, 0.00, 0.0
0.00, 1.15, 0.00, 0.0
